,,,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,IP,NP,NR,P,S,U
,B+,% of Total Number of Records along Grade Code Final,,,,5%,,,,,,,,,,,,,,,,
,,Number of Records,,,,2,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,3%,,,,,,,,,,,,
,,Number of Records,,,,,,,,1,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,3%,,,,,,,,,,,,,
,,Number of Records,,,,,,,1,,,,,,,,,,,,,
Biological Sciences 198,A,% of Total Number of Records along Grade Code Final,,5%,,,,,,,,,,,,,,,,,,
,,Number of Records,,2,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,8%,,,,,,,,,,,,,,,,,
,,Number of Records,,,3,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,3%,,,,,,,,,,,,,,,,,,,
,,Number of Records,1,,,,,,,,,,,,,,,,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,83%,,
,,Number of Records,,,,,,,,,,,,,,,,,,33,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Biological Sciences 199,A,% of Total Number of Records along Grade Code Final,,3%,,,,,,,,,,,,,,,,,,
,,Number of Records,,1,,,,,,,,,,,,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,3%,,,,
,,Number of Records,,,,,,,,,,,,,,,,1,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,93%,,
,,Number of Records,,,,,,,,,,,,,,,,,,28,,
Chemistry 001,A,% of Total Number of Records along Grade Code Final,,7%,,,,,,,,,,,,,,,,,,
,,Number of Records,,971,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,6%,,,,,,,,,,,,,,,,,
,,Number of Records,,,805,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,0%,,,,,,,,,,,,,,,,,,,
,,Number of Records,61,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,11%,,,,,,,,,,,,,,,
,,Number of Records,,,,,"1,482",,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,10%,,,,,,,,,,,,,,
,,Number of Records,,,,,,"1,432",,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,7%,,,,,,,,,,,,,,,,
,,Number of Records,,,,954,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,12%,,,,,,,,,,,,
,,Number of Records,,,,,,,,"1,737",,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,8%,,,,,,,,,,,
,,Number of Records,,,,,,,,,"1,097",,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,9%,,,,,,,,,,,,,
,,Number of Records,,,,,,,"1,284",,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,6%,,,,,,,,,
,,Number of Records,,,,,,,,,,,781,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,3%,,,,,,,,
,,Number of Records,,,,,,,,,,,,458,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,6%,,,,,,,,,,
,,Number of Records,,,,,,,,,,780,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,12%,,,,,,,
,,Number of Records,,,,,,,,,,,,,"1,678",,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,30,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
,,Number of Records,,,,,,,,,,,,,,,,,,42,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,312,,,,,,
Chemistry 002,A,% of Total Number of Records along Grade Code Final,,6%,,,,,,,,,,,,,,,,,,
,,Number of Records,,825,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,5%,,,,,,,,,,,,,,,,,
,,Number of Records,,,744,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,1%,,,,,,,,,,,,,,,,,,,
,,Number of Records,110,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,12%,,,,,,,,,,,,,,,
,,Number of Records,,,,,"1,687",,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,8%,,,,,,,,,,,,,,
,,Number of Records,,,,,,"1,154",,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,5%,,,,,,,,,,,,,,,,
,,Number of Records,,,,754,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,19%,,,,,,,,,,,,
,,Number of Records,,,,,,,,"2,657",,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,11%,,,,,,,,,,,
,,Number of Records,,,,,,,,,"1,578",,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,10%,,,,,,,,,,,,,
,,Number of Records,,,,,,,"1,439",,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,5%,,,,,,,,,
,,Number of Records,,,,,,,,,,,733,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,2%,,,,,,,,
,,Number of Records,,,,,,,,,,,,330,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,5%,,,,,,,,,,
,,Number of Records,,,,,,,,,,688,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,6%,,,,,,,
,,Number of Records,,,,,,,,,,,,,800,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,61,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
,,Number of Records,,,,,,,,,,,,,,,,,,62,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,288,,,,,,
Chemistry 002H,A,% of Total Number of Records along Grade Code Final,,18%,,,,,,,,,,,,,,,,,,
,,Number of Records,,47,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,16%,,,,,,,,,,,,,,,,,
,,Number of Records,,,42,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,4%,,,,,,,,,,,,,,,,,,,
,,Number of Records,10,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,18%,,,,,,,,,,,,,,,
,,Number of Records,,,,,47,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,12%,,,,,,,,,,,,,,
,,Number of Records,,,,,,30,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,11%,,,,,,,,,,,,,,,,
,,Number of Records,,,,28,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,5%,,,,,,,,,,,,
,,Number of Records,,,,,,,,13,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,4%,,,,,,,,,,,
,,Number of Records,,,,,,,,,11,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,4%,,,,,,,,,,,,,
,,Number of Records,,,,,,,11,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,2%,,,,,,,,,
,,Number of Records,,,,,,,,,,,5,,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,6,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
,,Number of Records,,,,,,,,,,,,,3,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,1,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,0%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Chemistry 008,A,% of Total Number of Records along Grade Code Final,,7%,,,,,,,,,,,,,,,,,,
,,Number of Records,,537,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,4%,,,,,,,,,,,,,,,,,
,,Number of Records,,,303,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
,,Number of Records,136,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,13%,,,,,,,,,,,,,,,
,,Number of Records,,,,,953,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,7%,,,,,,,,,,,,,,
,,Number of Records,,,,,,495,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,4%,,,,,,,,,,,,,,,,
,,Number of Records,,,,318,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,20%,,,,,,,,,,,,
,,Number of Records,,,,,,,,"1,430",,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,8%,,,,,,,,,,,
,,Number of Records,,,,,,,,,553,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,7%,,,,,,,,,,,,,
,,Number of Records,,,,,,,484,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,12%,,,,,,,,,
,,Number of Records,,,,,,,,,,,884,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
,,Number of Records,,,,,,,,,,,,100,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,167,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,9%,,,,,,,
,,Number of Records,,,,,,,,,,,,,621,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,28,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
,,Number of Records,,,,,,,,,,,,,,,,,,30,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
,,Number of Records,,,,,,,,,,,,,,201,,,,,,
Chemistry 008H,A,% of Total Number of Records along Grade Code Final,,23%,,,,,,,,,,,,,,,,,,
,,Number of Records,,23,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,6%,,,,,,,,,,,,,,,,,
,,Number of Records,,,6,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,10%,,,,,,,,,,,,,,,,,,,
,,Number of Records,10,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,11%,,,,,,,,,,,,,,,
,,Number of Records,,,,,11,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,8%,,,,,,,,,,,,,,
,,Number of Records,,,,,,8,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,12%,,,,,,,,,,,,,,,,
,,Number of Records,,,,12,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,9%,,,,,,,,,,,,
,,Number of Records,,,,,,,,9,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,6%,,,,,,,,,,,
,,Number of Records,,,,,,,,,6,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,5%,,,,,,,,,,,,,
,,Number of Records,,,,,,,5,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,4%,,,,,,,,,
,,Number of Records,,,,,,,,,,,4,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
,,Number of Records,,,,,,,,,,,,1,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,5%,,,,,,,,,,
,,Number of Records,,,,,,,,,,5,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
,,Number of Records,,,,,,,,,,,,,1,,,,,,,
Chemistry 008HL,A,% of Total Number of Records along Grade Code Final,,65%,,,,,,,,,,,,,,,,,,
,,Number of Records,,39,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,25%,,,,,,,,,,,,,,,,,
,,Number of Records,,,15,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
,,Number of Records,1,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,3%,,,,,,,,,,,,,,,
,,Number of Records,,,,,2,,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,2%,,,,,,,,,,,,,,,,
,,Number of Records,,,,1,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,2%,,,,,,,,,,,,
,,Number of Records,,,,,,,,1,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
,,Number of Records,,,,,,,1,,,,,,,,,,,,,
Chemistry 008L,A,% of Total Number of Records along Grade Code Final,,35%,,,,,,,,,,,,,,,,,,
,,Number of Records,,"1,175",,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,22%,,,,,,,,,,,,,,,,,
,,Number of Records,,,717,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,7%,,,,,,,,,,,,,,,,,,,
,,Number of Records,225,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,14%,,,,,,,,,,,,,,,
,,Number of Records,,,,,478,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,3%,,,,,,,,,,,,,,
,,Number of Records,,,,,,90,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,10%,,,,,,,,,,,,,,,,
,,Number of Records,,,,346,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,2%,,,,,,,,,,,,
,,Number of Records,,,,,,,,83,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
,,Number of Records,,,,,,,,,18,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,1%,,,,,,,,,,,,,
,,Number of Records,,,,,,,49,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,0%,,,,,,,,,
,,Number of Records,,,,,,,,,,,14,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,0%,,,,,,,,
,,Number of Records,,,,,,,,,,,,6,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,0%,,,,,,,,,,
,,Number of Records,,,,,,,,,,6,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
,,Number of Records,,,,,,,,,,,,,44,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,13,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
,,Number of Records,,,,,,,,,,,,,,,,,,12,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,48,,,,,,
Chemistry 010,A,% of Total Number of Records along Grade Code Final,,5%,,,,,,,,,,,,,,,,,,
,,Number of Records,,392,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,5%,,,,,,,,,,,,,,,,,
,,Number of Records,,,393,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,1%,,,,,,,,,,,,,,,,,,,
,,Number of Records,78,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,12%,,,,,,,,,,,,,,,
,,Number of Records,,,,,993,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,9%,,,,,,,,,,,,,,
,,Number of Records,,,,,,745,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,5%,,,,,,,,,,,,,,,,
,,Number of Records,,,,415,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,19%,,,,,,,,,,,,
,,Number of Records,,,,,,,,"1,528",,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,11%,,,,,,,,,,,
,,Number of Records,,,,,,,,,919,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,9%,,,,,,,,,,,,,
,,Number of Records,,,,,,,749,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,8%,,,,,,,,,
,,Number of Records,,,,,,,,,,,660,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,2%,,,,,,,,
,,Number of Records,,,,,,,,,,,,138,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,4%,,,,,,,,,,
,,Number of Records,,,,,,,,,,332,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,5%,,,,,,,
,,Number of Records,,,,,,,,,,,,,377,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,1%,,,,
,,Number of Records,,,,,,,,,,,,,,,,61,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,65,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,180,,,,,,
Chemistry 010H,A,% of Total Number of Records along Grade Code Final,,20%,,,,,,,,,,,,,,,,,,
,,Number of Records,,25,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,18%,,,,,,,,,,,,,,,,,
,,Number of Records,,,22,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,3%,,,,,,,,,,,,,,,,,,,
,,Number of Records,4,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,22%,,,,,,,,,,,,,,,
,,Number of Records,,,,,27,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,8%,,,,,,,,,,,,,,
,,Number of Records,,,,,,10,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,15%,,,,,,,,,,,,,,,,
,,Number of Records,,,,18,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,4%,,,,,,,,,,,,
,,Number of Records,,,,,,,,5,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
,,Number of Records,,,,,,,,,2,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
,,Number of Records,,,,,,,3,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,2%,,,,,,,,,
,,Number of Records,,,,,,,,,,,3,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
,,Number of Records,,,,,,,,,,,,,2,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,1%,,,,
,,Number of Records,,,,,,,,,,,,,,,,1,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,1,,
Chemistry 090X,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,5%,,,,
,,Number of Records,,,,,,,,,,,,,,,,1,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,95%,,
,,Number of Records,,,,,,,,,,,,,,,,,,18,,
Chemistry 095,A,% of Total Number of Records along Grade Code Final,,65%,,,,,,,,,,,,,,,,,,
,,Number of Records,,26,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,3%,,,,,,,,,,,,,,,,,
,,Number of Records,,,1,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,13%,,,,,,,,,,,,,,,,,,,
,,Number of Records,5,,,,,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,3%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,3%,,,,,,,,,,,,
,,Number of Records,,,,,,,,1,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,3%,,,,,,,,,,,,,
,,Number of Records,,,,,,,1,,,,,,,,,,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,13%,,
,,Number of Records,,,,,,,,,,,,,,,,,,5,,
Chemistry 098,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,100%,,
,,Number of Records,,,,,,,,,,,,,,,,,,2,,
Chemistry 100,A,% of Total Number of Records along Grade Code Final,,7%,,,,,,,,,,,,,,,,,,
,,Number of Records,,388,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,5%,,,,,,,,,,,,,,,,,
,,Number of Records,,,256,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
,,Number of Records,107,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,13%,,,,,,,,,,,,,,,
,,Number of Records,,,,,686,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,8%,,,,,,,,,,,,,,
,,Number of Records,,,,,,440,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,6%,,,,,,,,,,,,,,,,
,,Number of Records,,,,308,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,17%,,,,,,,,,,,,
,,Number of Records,,,,,,,,881,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,8%,,,,,,,,,,,
,,Number of Records,,,,,,,,,442,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,9%,,,,,,,,,,,,,
,,Number of Records,,,,,,,472,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,9%,,,,,,,,,
,,Number of Records,,,,,,,,,,,499,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,2%,,,,,,,,
,,Number of Records,,,,,,,,,,,,84,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
,,Number of Records,,,,,,,,,,72,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,9%,,,,,,,
,,Number of Records,,,,,,,,,,,,,479,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,18,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,33,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
,,Number of Records,,,,,,,,,,,,,,165,,,,,,
Chemistry 100L,A,% of Total Number of Records along Grade Code Final,,35%,,,,,,,,,,,,,,,,,,
,,Number of Records,,"1,206",,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,29%,,,,,,,,,,,,,,,,,
,,Number of Records,,,"1,003",,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,6%,,,,,,,,,,,,,,,,,,,
,,Number of Records,198,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,10%,,,,,,,,,,,,,,,
,,Number of Records,,,,,335,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,3%,,,,,,,,,,,,,,
,,Number of Records,,,,,,92,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,12%,,,,,,,,,,,,,,,,
,,Number of Records,,,,410,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,1%,,,,,,,,,,,,
,,Number of Records,,,,,,,,39,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
,,Number of Records,,,,,,,,,18,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,1%,,,,,,,,,,,,,
,,Number of Records,,,,,,,44,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,0%,,,,,,,,,
,,Number of Records,,,,,,,,,,,8,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,0%,,,,,,,,
,,Number of Records,,,,,,,,,,,,1,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,0%,,,,,,,,,,
,,Number of Records,,,,,,,,,,4,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
,,Number of Records,,,,,,,,,,,,,25,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,5,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
,,Number of Records,,,,,,,,,,,,,,,,,,13,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,42,,,,,,
Chemistry 101L,A,% of Total Number of Records along Grade Code Final,,24%,,,,,,,,,,,,,,,,,,
,,Number of Records,,113,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,20%,,,,,,,,,,,,,,,,,
,,Number of Records,,,94,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,1%,,,,,,,,,,,,,,,,,,,
,,Number of Records,7,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,20%,,,,,,,,,,,,,,,
,,Number of Records,,,,,94,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,7%,,,,,,,,,,,,,,
,,Number of Records,,,,,,35,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,13%,,,,,,,,,,,,,,,,
,,Number of Records,,,,64,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,4%,,,,,,,,,,,,
,,Number of Records,,,,,,,,21,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
,,Number of Records,,,,,,,,,6,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,4%,,,,,,,,,,,,,
,,Number of Records,,,,,,,21,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,0%,,,,,,,,,
